area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,12,Electronic City Phase II,2,Other,1056,2,1.0,39.07
Plot  Area,0,Other,4,Other,2600,5,3.0,120.0
Built-up  Area,0,Uttarahalli,3,Other,1440,2,3.0,62.0
Super built-up  Area,0,Other,3,Other,1521,3,1.0,95.0
Super built-up  Area,0,Kothanur,2,Other,1200,2,1.0,51.0
Super built-up  Area,0,Whitefield,2,Other,1170,2,1.0,38.0
Super built-up  Area,5,Other,4,Other,2732,4,2.0,204.0
Super built-up  Area,0,Rajaji Nagar,4,Other,3300,4,2.0,600.0
Super built-up  Area,0,Marathahalli,3,Other,1310,3,1.0,63.25
Plot  Area,0,Other,6,Other,1020,6,2.0,370.0
Super built-up  Area,2,Whitefield,3,Other,1800,2,2.0,70.0
Plot  Area,0,Whitefield,4,Other,2785,5,3.0,295.0
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1000,2,1.0,38.0
Built-up  Area,0,Other,2,Other,1100,2,2.0,40.0
Plot  Area,0,Sarjapur,3,Other,2250,3,2.0,148.0
Super built-up  Area,0,Mysore Road,2,Other,1175,2,2.0,73.5
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1180,3,2.0,48.0
Super built-up  Area,0,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3.0,60.0
Super built-up  Area,0,Other,3,Other,2770,4,2.0,290.0
Super built-up  Area,0,Other,2,Other,1100,2,2.0,48.0
Built-up  Area,0,Kengeri,1,Other,600,1,1.0,15.0
Super built-up  Area,12,Other,3,Other,1755,3,1.0,122.0
Plot  Area,0,Thanisandra,4,Soitya ,2800,5,2.0,380.0
Super built-up  Area,0,Bellandur,3,Other,1767,3,1.0,103.0
Super built-up  Area,11,Other,1,Bhe 2ko,510,1,0.0,25.25
Super built-up  Area,5,Other,3,Other,1250,3,2.0,56.0
Super built-up  Area,0,Electronic City,2,Other,660,1,1.0,23.1
Built-up  Area,12,Whitefield,3,Other,1610,3,2.0,81.0
Super built-up  Area,10,Ramagondanahalli,2,Other,1151,2,2.0,48.77
Super built-up  Area,0,Electronic City,3,Other,1025,2,1.0,47.0
Super built-up  Area,12,Yelahanka,4,Other,2475,4,0.0,186.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,35.0
Super built-up  Area,0,Hebbal,3,Other,1760,2,2.0,123.0
Super built-up  Area,0,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3.0,57.39
Built-up  Area,0,Other,3,Other,1925,3,2.0,125.0
Super built-up  Area,12,Kanakpura Road,2,PrarePa,700,2,1.0,36.0
Super built-up  Area,0,Electronics City Phase 1,2,Other,1070,2,1.0,45.5
Super built-up  Area,0,Other,3,Other,1724,3,2.0,125.0
Super built-up  Area,0,Other,3,Other,1290,2,2.0,56.12
Built-up  Area,0,Uttarahalli,2,Other,1143,2,2.0,45.0
Built-up  Area,0,Other,2,Other,1296,2,2.0,81.0
